tid,date,subject,author,fname,views,replies,pings_num,share_num,total_heat,score,article_type,split,word_count,paragraph_count,paragraphs_per_1000,median_paragraph_len,short_paragraph_ratio,max_short_run,list_like_lines,path,url
834489,2023-05-14,都说大宜宾8级脱单！万众人都结婚了，我12级还有机会吗？,流浪啊,今日宜宾,418057,208,0,0,0,438857,情感婚恋互动,holdout,645,15,23.26,32,0.133,1,3,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2023/05/834489-都说大宜宾8级脱单！万众人都结婚了，我12级还有机会吗？.md,https://dayibin.cn/forum.php?mod=viewthread&tid=834489
790919,2022-08-02,5折加油、69元充100元话费，只有宜宾人可以领...,流浪啊,网友曝光,253875,158,0,0,0,269675,网友曝光热议,holdout,854,52,60.89,11.0,0.769,24,1,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2022/08/790919-5折加油、69元充100元话费，只有宜宾人可以领.md,https://dayibin.cn/forum.php?mod=viewthread&tid=790919
719728,2021-08-16,暴雨过后，宜宾这些路段积水最新情况！,流浪啊,今日宜宾,217155,419,0,0,0,259055,突发应急安全,holdout,302,13,43.05,17,0.615,4,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2021/08/719728-暴雨过后，宜宾这些路段积水最新情况！.md,https://dayibin.cn/forum.php?mod=viewthread&tid=719728
726397,2021-09-10,大家好！我是大宜宾流浪，有什么事情都可以招呼我哦！,流浪啊,我是小编,199037,600,0,0,0,259037,综合本地新闻,train,169,6,35.5,17.0,0.667,2,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2021/09/726397-大家好！我是大宜宾流浪，有什么事情都可以招呼我哦！.md,https://dayibin.cn/forum.php?mod=viewthread&tid=726397
750902,2021-12-23,【答案已公布】听说有个台湾大明星要来宜宾，一起来猜！,流浪啊,今日宜宾,104269,1039,0,0,0,208169,综合本地新闻,train,541,18,33.27,22.0,0.5,4,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2021/12/750902-【答案已公布】听说有个台湾大明星要来宜宾，一起来猜！.md,https://dayibin.cn/forum.php?mod=viewthread&tid=750902
743975,2021-11-18,今天宜宾多个楼盘集体发出涨价公告！房价即将迎来新一轮涨价？,流浪啊,城市更新,123649,629,0,0,0,186549,城建交通更新,train,144,4,27.78,36.5,0.25,1,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2021/11/743975-今天宜宾多个楼盘集体发出涨价公告！房价即将迎来新一轮涨价？.md,https://dayibin.cn/forum.php?mod=viewthread&tid=743975
741271,2021-11-07,昨天，宜宾下雪了！快来看雪…,流浪啊,今日宜宾,113689,550,0,0,0,168689,综合本地新闻,train,262,10,38.17,20.0,0.6,3,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2021/11/741271-昨天，宜宾下雪了！快来看雪….md,https://dayibin.cn/forum.php?mod=viewthread&tid=741271
766908,2022-03-28,四川省新型冠状病毒肺炎疫情最新情况（3月28日发布）！,流浪啊,最新疫情,124113,196,0,0,0,143713,突发应急安全,train,826,31,37.53,20,0.548,7,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2022/03/766908-四川省新型冠状病毒肺炎疫情最新情况（3月28日发布）！.md,https://dayibin.cn/forum.php?mod=viewthread&tid=766908
789515,2022-07-26,刚刚！长江桥有人跳桥，堵害了…,流浪啊,网友曝光,107840,258,0,0,0,133640,网友曝光热议,train,95,5,52.63,16,0.8,3,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2022/07/789515-刚刚！长江桥有人跳桥，堵害了….md,https://dayibin.cn/forum.php?mod=viewthread&tid=789515
776214,2022-05-16,警情通报：关于宜宾男子恶意殴打公交司机并袭警！,流浪啊,今日宜宾,91069,304,0,0,0,121469,民生服务提醒,train,800,18,22.5,29.0,0.444,2,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2022/05/776214-警情通报：关于宜宾男子恶意殴打公交司机并袭警！.md,https://dayibin.cn/forum.php?mod=viewthread&tid=776214
854301,2023-10-21,现场直播！宜宾的奥特莱斯终于开业啦！现场人山人海，都在抢…,流浪啊,网友曝光,96936,240,0,0,0,120936,网友曝光热议,train,326,12,36.81,26.5,0.167,1,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2023/10/854301-现场直播！宜宾的奥特莱斯终于开业啦！现场人山人海，都在抢….md,https://dayibin.cn/forum.php?mod=viewthread&tid=854301
733617,2021-10-08,真牛掰！小编看到有个女的当街把手伸进男生裤子里，还在抠…,流浪啊,网友曝光,68191,512,0,0,0,119391,网友曝光热议,train,211,6,28.44,19.0,0.667,2,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2021/10/733617-真牛掰！小编看到有个女的当街把手伸进男生裤子里，还在抠….md,https://dayibin.cn/forum.php?mod=viewthread&tid=733617
874721,2024-04-29,宜宾30名公交司机上榜，今天被公开了…,流浪啊,今日宜宾,91462,261,0,0,0,117562,民生服务提醒,train,504,42,83.33,10.0,0.952,36,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2024/04/874721-宜宾30名公交司机上榜，今天被公开了….md,https://dayibin.cn/forum.php?mod=viewthread&tid=874721
693675,2021-05-13,【流浪】大宜宾唯一男小编讲述自己的故事！曾经拿过电焊枪，当过主播，进过厂…,流浪啊,我是小编,90529,228,0,0,0,113329,综合本地新闻,train,1081,23,21.28,43,0.304,3,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2021/05/693675-【流浪】大宜宾唯一男小编讲述自己的故事！曾经拿过电焊枪，当过主播，进过厂….md,https://dayibin.cn/forum.php?mod=viewthread&tid=693675
771918,2022-04-24,大堵车！岷江桥已经堵死了，车多得起串串…,流浪啊,大美宜宾,85781,191,0,0,0,104881,综合本地新闻,train,77,3,38.96,12,0.667,2,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2022/04/771918-大堵车！岷江桥已经堵死了，车多得起串串….md,https://dayibin.cn/forum.php?mod=viewthread&tid=771918
731334,2021-09-28,最新！南岸长江桥头要修公园了，过街人行天桥不修了？,流浪啊,城市更新,51685,489,0,0,0,100585,城建交通更新,train,266,14,52.63,9.0,0.714,7,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2021/09/731334-最新！南岸长江桥头要修公园了，过街人行天桥不修了？.md,https://dayibin.cn/forum.php?mod=viewthread&tid=731334
769468,2022-04-11,《奔跑吧》来宜宾了！angelababy、李晨、周深、白鹿…,流浪啊,今日宜宾,71469,261,0,0,0,97569,综合本地新闻,train,472,14,29.66,20.5,0.5,2,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2022/04/769468-《奔跑吧》来宜宾了！angelababy、李晨、周深、白鹿….md,https://dayibin.cn/forum.php?mod=viewthread&tid=769468
773068,2022-04-29,提前了！重庆到宜宾2024年通车！,流浪啊,城市更新,66547,258,0,0,0,92347,城建交通更新,train,203,4,19.7,51.0,0.25,1,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2022/04/773068-提前了！重庆到宜宾2024年通车！.md,https://dayibin.cn/forum.php?mod=viewthread&tid=773068
673780,2021-03-04,小编带你打卡宜宾“马尔代夫”！网红沙滩、文艺红白塔…快来春游吧！,流浪啊,我是小编,63835,235,0,0,0,87335,本地生活文旅,train,674,30,44.51,17.0,0.533,4,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2021/03/673780-小编带你打卡宜宾“马尔代夫”！网红沙滩、文艺红白塔…快来春游吧！.md,https://dayibin.cn/forum.php?mod=viewthread&tid=673780
810757,2022-11-20,宜宾惊现“巨龙”？即将新晋的打卡圣地，漂亮惨了…,流浪啊,城市更新,43977,403,0,0,0,84277,城建交通更新,train,473,12,25.37,26.0,0.5,2,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2022/11/810757-宜宾惊现“巨龙”？即将新晋的打卡圣地，漂亮惨了….md,https://dayibin.cn/forum.php?mod=viewthread&tid=810757
743814,2021-11-17,昨晚！宜宾地震了，4.7级！,流浪啊,今日宜宾,48472,350,0,0,0,83472,突发应急安全,train,334,14,41.92,12.5,0.714,4,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2021/11/743814-昨晚！宜宾地震了，4.7级！.md,https://dayibin.cn/forum.php?mod=viewthread&tid=743814
804319,2022-10-12,宜宾岷江大桥部分改造项目完成，通车时间…,流浪啊,城市更新,52893,303,0,0,0,83193,城建交通更新,train,497,11,22.13,43,0.273,2,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2022/10/804319-宜宾岷江大桥部分改造项目完成，通车时间….md,https://dayibin.cn/forum.php?mod=viewthread&tid=804319
773897,2022-05-04,今天起蜀南竹海对宜宾市民免门票！兄弟伙些快去踏平它…,流浪啊,今日宜宾,59659,232,0,0,0,82859,本地生活文旅,train,364,10,27.47,34.5,0.1,1,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2022/05/773897-今天起蜀南竹海对宜宾市民免门票！兄弟伙些快去踏平它….md,https://dayibin.cn/forum.php?mod=viewthread&tid=773897
808810,2022-11-08,宜宾第二个万达广场来啦！预计竣工时间…,流浪啊,城市更新,50456,315,0,0,0,81956,城建交通更新,train,414,12,28.99,29.0,0.333,3,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2022/11/808810-宜宾第二个万达广场来啦！预计竣工时间….md,https://dayibin.cn/forum.php?mod=viewthread&tid=808810
793453,2022-08-14,奇葩！宜宾一男子半夜溜进成人用品店，偷走个充气娃娃…,流浪啊,大美宜宾,65327,164,0,0,0,81727,综合本地新闻,train,183,5,27.32,27,0.4,2,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2022/08/793453-奇葩！宜宾一男子半夜溜进成人用品店，偷走个充气娃娃….md,https://dayibin.cn/forum.php?mod=viewthread&tid=793453
899997,2024-12-29,2024年我在美团用了7000多，你们呢？,流浪啊,网友曝光,57014,237,0,0,0,80714,网友曝光热议,train,207,5,24.15,38,0.2,1,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2024/12/899997-2024年我在美团用了7000多，你们呢？.md,https://dayibin.cn/forum.php?mod=viewthread&tid=899997
