idx,title,author,date,year,url,path,chars,paragraphs,images,sections,read,like,share,favorite,comment,raw_score,global_pct,year_pct,early_bonus,weighted_score,split,article_type,hook_type
1475,西贝的公关并不傻,半佛仙人,2025-09-14 12:15,2025,https://mp.weixin.qq.com/s/l-6afALZM-lR34bBpdklwA,/Users/lixin/Documents/学习/重点学习公众号/半佛仙人/半佛仙人/20250914_西贝的公关并不傻/西贝的公关并不傻.md,2111,62,5,4,100000,5323,14000,1719,659,9.630863414987086,0.9959514170040485,0.9954954954954955,0.0,0.8961967027756501,train,商业公司拆解,直给判断
1251,《抓娃娃》简直该算恐怖片,青蒜  半佛,2024-07-17 18:23,2024,https://mp.weixin.qq.com/s/PgAUVFh6cSpkyDhhH86sag,/Users/lixin/Documents/学习/重点学习公众号/半佛仙人/半佛仙人/20240717_《抓娃娃》简直该算恐怖片/《抓娃娃》简直该算恐怖片.md,2355,70,5,5,100000,6803,23000,1688,234,9.762835611545757,0.9975708502024292,0.9865771812080537,0.0,0.8939659810341549,train,热点观点杂谈,直给判断
1373,全季酒店是怕我渴死吗？,白团  半佛,2025-03-27 12:45,2025,https://mp.weixin.qq.com/s/-f0WHQLk-mzkls7Gu-gJtQ,/Users/lixin/Documents/学习/重点学习公众号/半佛仙人/半佛仙人/20250327_全季酒店是怕我渴死吗？/全季酒店是怕我渴死吗？.md,1427,62,8,4,100000,5036,18000,1232,261,9.600352322385657,0.994331983805668,0.990990990990991,0.0,0.8937294379399643,train,消费品牌观察,反常识提问
1364,蔚来的敌人只有傲慢的自己,半佛仙人,2025-03-12 17:17,2025,https://mp.weixin.qq.com/s/VVLeNeUSI9LYXe8DAikrJQ,/Users/lixin/Documents/学习/重点学习公众号/半佛仙人/半佛仙人/20250312_蔚来的敌人只有傲慢的自己/蔚来的敌人只有傲慢的自己.md,2957,110,4,5,100000,5791,16000,2214,22,9.542762750100069,0.9935222672064777,0.9864864864864865,0.0,0.891707517233833,train,商业公司拆解,直给判断
1293,腾讯会议，异地恋的核武器,绿牙齿  半佛,2024-10-24 15:57,2024,https://mp.weixin.qq.com/s/C3OX6OuM-dKdC4aRFFGzTg,/Users/lixin/Documents/学习/重点学习公众号/半佛仙人/半佛仙人/20241024_腾讯会议，异地恋的核武器/腾讯会议，异地恋的核武器.md,1540,87,5,4,100000,5372,35000,937,164,9.73226808187293,0.9967611336032388,0.9798657718120806,0.0,0.8911716436160095,train,商业公司拆解,对象加判断
1523,《疯狂动物城》，其实是惊悚片,青蒜  半佛,2025-11-30 11:08,2025,https://mp.weixin.qq.com/s/V3Ztdxr0Xs44WOXulzicVg,/Users/lixin/Documents/学习/重点学习公众号/半佛仙人/半佛仙人/20251130_《疯狂动物城》，其实是惊悚片/《疯狂动物城》，其实是惊悚片.md,1961,72,6,4,100000,4662,15000,1470,69,9.487143557218994,0.9927125506072875,0.9819819819819819,0.0,0.8896855965277017,train,热点观点杂谈,情绪夸张判断
1362,多少人把比亚迪当烘衣机用？,红袖  半佛,2025-03-09 17:01,2025,https://mp.weixin.qq.com/s/PAKej4Y1I7vvRz415n-R5g,/Users/lixin/Documents/学习/重点学习公众号/半佛仙人/半佛仙人/20250309_多少人把比亚迪当烘衣机用？/多少人把比亚迪当烘衣机用？.md,1955,52,9,3,100000,3404,28000,746,42,9.47244286736727,0.9919028340080972,0.9774774774774775,0.0,0.8876636758215706,train,商业公司拆解,反常识提问
1622,为了不让傻瓜电死自己，公牛插座承受了太多,红袖  半佛,2026-05-07 11:49,2026,https://mp.weixin.qq.com/s/j0onb0rENKz_zZFR2xw2UQ,/Users/lixin/Documents/学习/重点学习公众号/半佛仙人/半佛仙人/20260507_为了不让傻瓜电死自己，公牛插座承受了太多/为了不让傻瓜电死自己，公牛插座承受了太多.md,2103,71,14,4,100000,4197,5219,1114,130,9.200602292585877,0.9805668016194332,0.990909090909091,0.0,0.8861299227088701,train,热点观点杂谈,对象加判断
1100,水溶C100是怎么成为小红书神药的,红袖 半佛,2023-08-02 18:29,2023,https://mp.weixin.qq.com/s/VnKs_Xz9WXVrE8NLJjw8HA,/Users/lixin/Documents/学习/重点学习公众号/半佛仙人/半佛仙人/20230802_水溶C100是怎么成为小红书神药的/水溶C100是怎么成为小红书神药的.md,2797,90,18,4,100000,4518,3020,999,1471,9.192369103284225,0.9781376518218623,0.9946524064171123,0.0,0.8861040507480136,train,热点观点杂谈,直给判断
1384,罗森要毁了江浙沪便利店吗?,红袖  半佛,2025-04-13 12:44,2025,https://mp.weixin.qq.com/s/nAOBXZLfkzisL0OscyLHwA,/Users/lixin/Documents/学习/重点学习公众号/半佛仙人/半佛仙人/20250413_罗森要毁了江浙沪便利店吗_/罗森要毁了江浙沪便利店吗_.md,1804,56,19,1,100000,3292,16000,782,123,9.38184495601272,0.9902834008097166,0.972972972972973,0.0,0.8851964109858848,train,热点观点杂谈,反常识提问
1200,米村拌饭是预制菜的亲爷爷,绿牙齿  半佛,2024-03-05 16:25,2024,https://mp.weixin.qq.com/s/UYO4DTZtxCxb24mNvTrRCg,/Users/lixin/Documents/学习/重点学习公众号/半佛仙人/半佛仙人/20240305_米村拌饭是预制菜的亲爷爷/米村拌饭是预制菜的亲爷爷.md,1488,54,4,1,100000,1857,31000,460,806,9.444791065531568,0.9910931174089069,0.9664429530201343,0.0,0.8833562481319459,train,消费品牌观察,直给判断
1344,《射雕：侠之大者》给我看笑疯了,青蒜  半佛,2025-02-03 14:45,2025,https://mp.weixin.qq.com/s/Cz-UNlay48JqD5EIdHj9kw,/Users/lixin/Documents/学习/重点学习公众号/半佛仙人/半佛仙人/20250203_《射雕：侠之大者》给我看笑疯了/《射雕：侠之大者》给我看笑疯了.md,3110,118,5,7,100000,3850,12000,935,117,9.36443153970471,0.9894736842105263,0.9684684684684685,0.0,0.8831744902797534,train,文娱产品拆解,情绪夸张判断
1549,非法穿越的死者家属起诉公益救援队？做得好,半佛仙人,2026-01-13 11:30,2026,https://mp.weixin.qq.com/s/X4DVLT__T2QHdsDMFTqVcA,/Users/lixin/Documents/学习/重点学习公众号/半佛仙人/半佛仙人/20260113_非法穿越的死者家属起诉公益救援队？做得好/非法穿越的死者家属起诉公益救援队？做得好.md,1293,53,6,1,100000,6051,3692,1295,75,9.193352489867822,0.9789473684210527,0.9818181818181818,0.0,0.8820574162679427,train,热点观点杂谈,反常识提问
1331,闲鱼，找对象的神,白团  半佛,2025-01-17 13:03,2025,https://mp.weixin.qq.com/s/b9zWMcSIdajnNqr_Lt4fwQ,/Users/lixin/Documents/学习/重点学习公众号/半佛仙人/半佛仙人/20250117_闲鱼，找对象的神/闲鱼，找对象的神.md,2457,88,4,7,100000,3302,18000,612,47,9.34011621093147,0.988663967611336,0.963963963963964,0.0,0.8811525695736222,train,热点观点杂谈,对象加判断
1163,董宇辉的选择，并不一定是昏招,半佛仙人,2023-12-17 01:24,2023,https://mp.weixin.qq.com/s/KSkvGStJau0vngNTIgtNNw,/Users/lixin/Documents/学习/重点学习公众号/半佛仙人/半佛仙人/20231216_董宇辉的选择，并不一定是昏招/董宇辉的选择，并不一定是昏招.md,1980,22,7,1,100000,2455,5739,672,539,9.110656347309632,0.9724696356275304,0.9893048128342246,0.0,0.8811149840871203,train,热点观点杂谈,对象加判断
