idx,title,author,date,year,url,path,chars,paragraphs,images,sections,read,like,share,favorite,comment,raw_score,global_pct,year_pct,early_bonus,weighted_score,split,article_type,hook_type
1,一场免费的知乎live-关于理财,半佛仙人,2018-12-23 10:00,2018,https://mp.weixin.qq.com/s/PyMx88BnYOaieRpM-epluw,/Users/lixin/Documents/学习/重点学习公众号/半佛仙人/半佛仙人/20181223_一场免费的知乎live-关于理财/一场免费的知乎live-关于理财.md,424,8,0,0,,,,,,,,,0.0,,no_interaction,热点观点杂谈,直给判断
2,求救！大哥大姐们出出主意,半佛仙人,2018-12-29 18:47,2018,https://mp.weixin.qq.com/s/4rwJ3W_nTcy8siREgqLmwg,/Users/lixin/Documents/学习/重点学习公众号/半佛仙人/半佛仙人/20181229_求救！大哥大姐们出出主意/求救！大哥大姐们出出主意.md,425,12,0,0,,,,,,,,,0.0,,no_interaction,热点观点杂谈,情绪夸张判断
3,我张日天的2019flag以及红包种种,半佛仙人,2018-12-31 22:19,2018,https://mp.weixin.qq.com/s/pJybkeT6MZiQrTgFvhIXFQ,/Users/lixin/Documents/学习/重点学习公众号/半佛仙人/半佛仙人/20181231_我张日天的2019flag以及红包种种/我张日天的2019flag以及红包种种.md,1301,27,0,0,,,,,,,,,0.0,,no_interaction,热点观点杂谈,直给判断
4,抽奖，以及谈谈抽奖这件事,半佛仙人,2019-02-04 21:59,2019,https://mp.weixin.qq.com/s/rf6MmnyjqLc7OXTtFaKBDQ,/Users/lixin/Documents/学习/重点学习公众号/半佛仙人/半佛仙人/20190204_抽奖，以及谈谈抽奖这件事/抽奖，以及谈谈抽奖这件事.md,1325,38,0,0,,,,,,,,,0.0,,no_interaction,热点观点杂谈,对象加判断
5,关于广告和商业化，一点心里话,半佛仙人,2019-04-20 19:11,2019,https://mp.weixin.qq.com/s/w2bIY2CVxFpS56RxsJDFWw,/Users/lixin/Documents/学习/重点学习公众号/半佛仙人/半佛仙人/20190420_关于广告和商业化，一点心里话/关于广告和商业化，一点心里话.md,2995,69,2,0,,,,,,,,,0.0,,no_interaction,热点观点杂谈,对象加判断
6,他们不是战士，但想把你从“脂肪”里解放,半佛仙人,2019-04-26 20:04,2019,https://mp.weixin.qq.com/s/se_swrj-1BySMKomx4nnog,/Users/lixin/Documents/学习/重点学习公众号/半佛仙人/半佛仙人/20190426_他们不是战士，但想把你从“脂肪”里解放/他们不是战士，但想把你从“脂肪”里解放.md,4356,97,7,10,,,,,,,,,0.0,,no_interaction,热点观点杂谈,对象加判断
7,删文通知，以及未来的我们,半佛仙人,2019-04-27 18:27,2019,https://mp.weixin.qq.com/s/wRdCDPZ4tHcK-0z6llq8fw,/Users/lixin/Documents/学习/重点学习公众号/半佛仙人/半佛仙人/20190427_删文通知，以及未来的我们/删文通知，以及未来的我们.md,2238,71,3,7,,,,,,,,,0.0,,no_interaction,热点观点杂谈,对象加判断
8,起底身份倒卖产业：那些被公开叫卖的人生,半佛仙人,2019-04-29 19:00,2019,https://mp.weixin.qq.com/s/5168S-cCHk88Q8Bu0IE3BQ,/Users/lixin/Documents/学习/重点学习公众号/半佛仙人/半佛仙人/20190429_起底身份倒卖产业：那些被公开叫卖的人生/起底身份倒卖产业：那些被公开叫卖的人生.md,6868,178,7,11,,,,,,,,,0.0,,no_interaction,风险黑产科普,直给判断
9,当我们谈论手机体验时，我们在谈论什么,半佛仙人,2019-05-07 18:04,2019,https://mp.weixin.qq.com/s/dVFKvEnfR8H-zJ6tSHFESg,/Users/lixin/Documents/学习/重点学习公众号/半佛仙人/半佛仙人/20190507_当我们谈论手机体验时，我们在谈论什么/当我们谈论手机体验时，我们在谈论什么.md,4390,93,6,7,,,,,,,,,0.0,,no_interaction,热点观点杂谈,对象加判断
10,如果公益是作秀，那这家公司秀上天了,半佛仙人,2019-05-13 19:31,2019,https://mp.weixin.qq.com/s/T5JWhP1yhxr9-IhE-lIqsg,/Users/lixin/Documents/学习/重点学习公众号/半佛仙人/半佛仙人/20190513_如果公益是作秀，那这家公司秀上天了/如果公益是作秀，那这家公司秀上天了.md,3725,91,3,8,,,,,,,,,0.0,,no_interaction,热点观点杂谈,对象加判断
