split,weighted_score,global_percentile,year_percentile,spike_bonus,base_score,file,title,date,year,author,account,type,word_count,paragraph_count,paragraphs_per_1000,median_para_len,short_para_ratio,max_short_run,image_count,section_count,阅读,点赞,转发,喜欢,留言,url
unranked_no_perf,,,,,,20170323_比共享单车更暴露人性的，是医院的病房.md,比共享单车更暴露人性的，是医院的病房,2017-03-23,2017,槽值,槽值,公共教育/事件纪念,2267,67,29.55,32,0.239,2,17,0,,,,,,https://mp.weixin.qq.com/s/0YNT0jC1cpDlK7MIqsh9_w
unranked_no_perf,,,,,,20170725_上了985、211才知道，读书无用论都是骗人的.md,上了985、211才知道，读书无用论都是骗人的,2017-07-25,2017,槽植,槽值,综合热点/观点拆解,3343,95,28.42,32,0.284,2,6,0,,,,,,https://mp.weixin.qq.com/s/niX1ngPFTY4_DITuYWNCmQ
unranked_no_perf,,,,,,20171028_累死你的不是工作，而是这些人.md,累死你的不是工作，而是这些人,2017-10-28,2017,槽值,槽值,社会情绪/打工人生活,2966,78,26.3,36.0,0.179,2,10,0,,,,,,https://mp.weixin.qq.com/s/y36hSqjY-F_LWq5TEp0G2g
unranked_no_perf,,,,,,20171113_被面膜毁掉的中国女人.md,被面膜毁掉的中国女人,2017-11-13,2017,槽值,槽值,身体审美/亲密关系,2234,63,28.2,28,0.333,3,12,0,,,,,,https://mp.weixin.qq.com/s/1pZ1uvtKDz9dnaI_NlcRNA
unranked_no_perf,,,,,,20171120_别撩那些不换微信头像的姑娘.md,别撩那些不换微信头像的姑娘,2017-11-20,2017,槽值,槽值,综合热点/观点拆解,2834,82,28.93,33.0,0.244,2,14,0,,,,,,https://mp.weixin.qq.com/s/UtrC8UEn9WxUXN3F-KXyTA
unranked_no_perf,,,,,,20180129_北大毕业生拉黑父母6年：有多少父母，不会好好说话.md,北大毕业生拉黑父母6年：有多少父母，不会好好说话,2018-01-29,2018,槽值,槽值,身体审美/亲密关系,3654,117,32.02,29,0.265,3,20,0,,,,,,https://mp.weixin.qq.com/s/j837e-deV5OH1V0hoRC8xw
training_top80,0.202414,0.248347,0.142857,0.0,6.725681114406713,20180314_霍金去世，轮椅太小，但恰好宇宙够大.md,霍金去世，轮椅太小，但恰好宇宙够大,2018-03-14,2018,槽值,槽值,公共教育/事件纪念,1459,56,38.38,22.0,0.464,5,17,0,100000,4193,1,4,100,https://mp.weixin.qq.com/s/fYc4mhRnnj43dBbulD8fCg
training_top80,0.777916,0.806421,0.857143,0.419924,7.721787737890819,20180329_街边两块钱一根的烤肠，里面到底是什么肉？.md,街边两块钱一根的烤肠，里面到底是什么肉？,2018-03-29,2018,槽值,槽值,日常物件/冷知识科普,2543,81,31.85,31,0.247,5,18,0,100000,5839,2,1283,100,https://mp.weixin.qq.com/s/kqHuggB5eTVU6S24y_p-7w
training_top80,0.503359,0.505194,0.714286,0.068656,7.133134135986089,20180428_刘若英《后来的我们》：我爱了很久，最后只能是朋友.md,刘若英《后来的我们》：我爱了很久，最后只能是朋友,2018-04-28,2018,槽值,槽值,综合热点/观点拆解,2917,122,41.82,24.0,0.434,20,33,0,100000,6729,5,7,98,https://mp.weixin.qq.com/s/mqizfg7L7UeHm0I6wTqeJQ
training_top80,0.434448,0.453258,0.571429,0.028817,7.066373323275409,20180809_朋友圈残酷测试：最好的朋友，和你没有聊天记录.md,朋友圈残酷测试：最好的朋友，和你没有聊天记录,2018-08-09,2018,槽值小妹,槽值,社会情绪/打工人生活,2770,120,43.32,21.0,0.483,9,21,0,100000,2447,8,15,100,https://mp.weixin.qq.com/s/rZqUGgG-1GknjbmM-YF8Uw
training_top80,0.84555,0.850803,1.0,0.49988,7.855778202599505,20180824_中国人羞于启齿几十年的事，被韩国片无情揭露.md,中国人羞于启齿几十年的事，被韩国片无情揭露,2018-08-24,2018,槽值小妹,槽值,地域文化/城市迷因,2511,118,46.99,21.0,0.492,6,48,0,100000,6842,4,1222,99,https://mp.weixin.qq.com/s/oi3DO3v1b-cV6zaEAV1tuQ
training_top80,0.357386,0.388102,0.428571,0.0,6.969789370261811,20181008_2.9分国产脑残剧收视第一，是对上亿女性的侮辱.md,2.9分国产脑残剧收视第一，是对上亿女性的侮辱,2018-10-08,2018,槽值小妹,槽值,身体审美/亲密关系,3269,149,45.58,21,0.497,5,34,0,100000,10000,1,5,99,https://mp.weixin.qq.com/s/X1qU6pO7SoLVjV9MQHnJag
training_top80,0.252138,0.278565,0.285714,0.0,6.769860881788498,20181029_李咏患癌去世：生命来来往往，来日并不方长.md,李咏患癌去世：生命来来往往，来日并不方长,2018-10-29,2018,槽值小妹,槽值,公共教育/事件纪念,2989,133,44.5,21,0.496,6,43,0,100000,6269,2,1,100,https://mp.weixin.qq.com/s/OEdniZ4FyRwrVtsZzMzmhg
excluded_bottom20,0.167234,0.238905,0.0,0.0,6.684960590031242,20181105_被章子怡捧上天的男明星，你看不起妻子的样子真油腻.md,被章子怡捧上天的男明星，你看不起妻子的样子真油腻,2018-11-05,2018,槽值小妹,槽值,娱乐影视/人物舆论,3173,157,49.48,20,0.516,9,34,0,100000,4880,1,2,96,https://mp.weixin.qq.com/s/MBnGOWIvUKp3MGAaVk5Ihw
training_top80,0.308903,0.136922,0.824324,0.481929,6.31206136672026,20190118_《啥是佩奇》一夜爆红：别忘了那个偷偷爱你的人.md,《啥是佩奇》一夜爆红：别忘了那个偷偷爱你的人,2019-01-18,2019,槽值小妹,槽值,综合热点/观点拆解,3247,152,46.81,21.0,0.487,10,24,0,100000,4,4,6998,99,https://mp.weixin.qq.com/s/C4MD6vZlID5BRfCnhO2wnw
excluded_bottom20,0.039528,0.021719,0.121622,0.0,5.290723097012425,20190122_在国外卖不掉的这种咖啡，霸占了国内84％的市场.md,在国外卖不掉的这种咖啡，霸占了国内84％的市场,2019-01-22,2019,槽值小妹,槽值,日常物件/冷知识科普,3215,130,40.44,23.0,0.4,4,19,0,100000,0,0,968,98,https://mp.weixin.qq.com/s/Mfsd82GLEZUvFI6mm1-g7w
training_top80,0.460758,0.269122,0.945946,0.831835,6.7564312083349956,20190124_千万别在深夜试探人性：这9.5分神综，刷新我三观.md,千万别在深夜试探人性：这9.5分神综，刷新我三观,2019-01-24,2019,槽值小妹,槽值,综合热点/观点拆解,4052,171,42.2,22,0.415,5,64,0,100000,17,7,8527,100,https://mp.weixin.qq.com/s/4OeFMJtePEwXo33EgCzJsg
