file,title,type,author,账号总风格相似度,文稿类型相似度,小编个人相似度,标题相似度,开头相似度,正文结构相似度,语言节奏相似度,素材使用相似度,结尾方式相似度,事实可靠性,非冒充合规性
20230420_最最珍贵的“山庄头魁酒”，今年又敬给了谁_.md,最最珍贵的“山庄头魁酒”，今年又敬给了谁?,文旅稿,事儿哥,91,86,89,90,82,86,86,86,82,88,100
20240326_“厦门和承德，咋这么像？”.md,“厦门和承德，咋这么像？”,民生稿,事儿哥,91,90,89,90,82,86,86,86,82,88,100
20240814_“小黄鸭”们，还会再来承德吗？.md,“小黄鸭”们，还会再来承德吗？,文旅稿,承德事儿哥,91,86,NA,90,82,86,84,83,82,88,100
20240820_我在承德月薪5千，为啥快吃不起20块钱一份的外卖了？.md,我在承德月薪5千，为啥快吃不起20块钱一份的外卖了？,招聘稿,事儿哥,91,73,89,90,82,86,84,83,82,88,100
20240915_你心中，是不是也有一首《桃李街》？.md,你心中，是不是也有一首《桃李街》？,文旅稿,康小桥,84,86,NA,84,82,82,86,78,82,88,100
20241002_来自成都的「梵木」，极可能在承德创造奇迹！.md,来自成都的「梵木」，极可能在承德创造奇迹！,商家稿,事儿哥,91,86,89,90,82,86,86,83,82,88,100
20250327_什么样的承德人，能在梵木赚大钱？.md,什么样的承德人，能在梵木赚大钱？,商家稿,事儿哥,91,86,89,90,82,86,86,83,82,88,100
20250411_这场大风，到底会不会来承德？.md,这场大风，到底会不会来承德？,突发短消息,事儿哥,91,73,89,90,82,86,86,83,82,88,100
20250415_河北省刚颁布的一份重要文件里，藏着一个承德的“小秘密”！.md,河北省刚颁布的一份重要文件里，藏着一个承德的“小秘密”！,政务稿,事儿哥,91,73,89,90,82,86,86,83,82,88,100
20250418_大风过后的周末，承德人快去听歌、唱歌！.md,大风过后的周末，承德人快去听歌、唱歌！,突发短消息,事儿哥,91,73,89,90,82,86,86,83,82,88,100
20250430_「去太空出差」的那位滦平女孩，今日顺利回家！.md,「去太空出差」的那位滦平女孩，今日顺利回家！,人物稿,事儿哥,91,73,89,90,82,86,86,83,82,88,100
20250514_@承德人，这个电话号码你一定要存！.md,@承德人，这个电话号码你一定要存！,服务提醒,事儿哥,91,73,89,90,82,86,86,83,82,88,100
20250519_围场发大招！为你准备1000只免费烤羊！.md,围场发大招！为你准备1000只免费烤羊！,评论观点,事儿哥,91,86,89,90,82,86,86,83,82,88,100
20250526_网友来信：悦璟安和，请停止违建！.md,网友来信：悦璟安和，请停止违建！,民生稿,事儿哥,86,90,87,84,82,86,86,83,82,88,100
20250527_售价98元的粽子里有「秘密」！承德大山里的孩子们用半截粉笔涂大海和晚霞，看完眼睛湿润了…….md,售价98元的粽子里有「秘密」！承德大山里的孩子们用半截粉笔涂大海和晚霞，看完眼睛湿润了……,教育稿,事儿哥,91,73,89,90,82,86,86,83,82,88,100
20250528_【独家】承德到天津高铁进展缓慢，原因令人唏嘘…….md,【独家】承德到天津高铁进展缓慢，原因令人唏嘘……,政务稿,事儿哥,91,73,89,90,82,86,86,83,82,88,100
20250528_承德一份售价98元的粽子里有「秘密」！看完眼睛湿润了…….md,承德一份售价98元的粽子里有「秘密」！看完眼睛湿润了……,评论观点,事儿哥,91,86,89,90,82,86,86,83,82,88,100
20250724_承德朋友圈的三张模糊照片，没感动上天，却让你我睡的更加香甜！.md,承德朋友圈的三张模糊照片，没感动上天，却让你我睡的更加香甜！,民生稿,事儿哥,91,90,89,90,82,86,86,83,82,88,100
20250817_首战1_1憾平沧州，承德却赢下了比分之外的一切！.md,首战1:1憾平沧州，承德却赢下了比分之外的一切！,活动稿,事儿哥,91,73,89,90,82,86,86,83,82,88,100
20260103_今晚，“哪怕被撞得粉身碎骨，我们也要咬下石家庄一块肉”！.md,今晚，“哪怕被撞得粉身碎骨，我们也要咬下石家庄一块肉”！,评论观点,事儿哥,86,86,87,84,82,86,86,83,82,88,100
20260315_在承德，如何搞垮一个高档小区？.md,在承德，如何搞垮一个高档小区？,民生稿,事儿哥,91,90,89,90,82,86,86,83,82,88,100
20260406_看着老公在一旁抽闷烟，我才明白：承德淘汰起中年人，从来不留情面!.md,看着老公在一旁抽闷烟，我才明白：承德淘汰起中年人，从来不留情面!,情感稿,承德事儿哥,89,73,NA,84,82,86,86,83,82,88,100
20260513_承德中华路商会老刘，颠覆百盛老刘！.md,承德中华路商会老刘，颠覆百盛老刘！,商家稿,事儿哥,91,86,89,90,82,86,86,83,82,88,100
