split,date,year,account,author,editor,article_type,title,char_count,image_count,url,file,source_path
train,2015-05-24 21:32,2015,成都美食,美食君,美食君,街区地图/城市记忆稿,成都8家隐秘而逼格的「路边摊」！!,2018,73,https://mp.weixin.qq.com/s/tj0np55YMtVeU-emDCOhBQ,20150524_成都8家隐秘而逼格的「路边摊」！!.md,/Users/lixin/Documents/学习/重点学习公众号/成都美食/20150524_成都8家隐秘而逼格的「路边摊」！!.md
train,2015-06-17 22:34,2015,成都美食,美食君,美食君,街区地图/城市记忆稿,成都有条不打烊的粽子老街，附上扫货、挑选攻略！！,3284,85,https://mp.weixin.qq.com/s/HOF9BWKXWsOag-TkeC7Veg,20150617_成都有条不打烊的粽子老街，附上扫货、挑选攻略！！.md,/Users/lixin/Documents/学习/重点学习公众号/成都美食/20150617_成都有条不打烊的粽子老街，附上扫货、挑选攻略！！.md
train,2015-06-25 23:33,2015,成都美食,美食君,美食君,街区地图/城市记忆稿,2015最新四川美食名片出炉！！,3436,76,https://mp.weixin.qq.com/s/w4WNqCKhs0ZnranX98c0ag,20150625_2015最新四川美食名片出炉！！.md,/Users/lixin/Documents/学习/重点学习公众号/成都美食/20150625_2015最新四川美食名片出炉！！.md
train,2015-06-29 21:48,2015,成都美食,美食君,美食君,街区地图/城市记忆稿,在成都，100大卡的热量究竟长啥样！不晓得你就完了,817,56,https://mp.weixin.qq.com/s/4COQOQPfFnARLyv7PWvNvw,20150629_在成都，100大卡的热量究竟长啥样！不晓得你就完了.md,/Users/lixin/Documents/学习/重点学习公众号/成都美食/20150629_在成都，100大卡的热量究竟长啥样！不晓得你就完了.md
train,2015-07-19 23:59,2015,成都美食,阿乐 美食君,阿乐 美食君,单品深挖/资格味道稿,青城山隔壁的神秘山洞，一群小妖住在里面，萌化了！！,2369,65,https://mp.weixin.qq.com/s/WsQRSnnrGVytKEvXD7QBWg,20150719_青城山隔壁的神秘山洞，一群小妖住在里面，萌化了！！.md,/Users/lixin/Documents/学习/重点学习公众号/成都美食/20150719_青城山隔壁的神秘山洞，一群小妖住在里面，萌化了！！.md
train,2015-09-08 21:53,2015,成都美食,美丽爱五花,美丽爱五花,街区地图/城市记忆稿,看了这么多美食推荐，这条攻略应该是最强大的！！！,3618,51,https://mp.weixin.qq.com/s/Ppl1BezDvxDA4ViExS45sg,20150908_看了这么多美食推荐，这条攻略应该是最强大的！！！.md,/Users/lixin/Documents/学习/重点学习公众号/成都美食/20150908_看了这么多美食推荐，这条攻略应该是最强大的！！！.md
train,2015-09-09 23:14,2015,成都美食,美食君,美食君,街区地图/城市记忆稿,在成都，这条美食路线只有骨灰级吃货才晓得！！,3851,39,https://mp.weixin.qq.com/s/pykJkNIG-tFX9JQFYKstmg,20150909_在成都，这条美食路线只有骨灰级吃货才晓得！！.md,/Users/lixin/Documents/学习/重点学习公众号/成都美食/20150909_在成都，这条美食路线只有骨灰级吃货才晓得！！.md
train,2015-09-15 21:48,2015,成都美食,美食君,美食君,测评指南/清单稿,吃货妹儿推荐：成都56家招牌美食 国庆每天8家！！,3457,18,https://mp.weixin.qq.com/s/YAWmVAwyCgHDC21PZ0gH5A,20150915_吃货妹儿推荐：成都56家招牌美食 国庆每天8家！！.md,/Users/lixin/Documents/学习/重点学习公众号/成都美食/20150915_吃货妹儿推荐：成都56家招牌美食 国庆每天8家！！.md
train,2015-09-16 18:10,2015,成都美食,美食君,美食君,街区地图/城市记忆稿,猜准了？一半以上的成都人都是这样度过小长假。。。,2961,37,https://mp.weixin.qq.com/s/2cQB-g4qXjsTRMPrZoIulg,20150916_猜准了？一半以上的成都人都是这样度过小长假。。。.md,/Users/lixin/Documents/学习/重点学习公众号/成都美食/20150916_猜准了？一半以上的成都人都是这样度过小长假。。。.md
train,2015-09-20 22:01,2015,成都美食,美食君,美食君,测评指南/清单稿,撑死在成都，本地人都无法拒绝的特产系列！虐心推荐~,3705,51,https://mp.weixin.qq.com/s/ANBkHQL4Gb1F7I1wpmTUuQ,20150920_撑死在成都，本地人都无法拒绝的特产系列！虐心推荐~.md,/Users/lixin/Documents/学习/重点学习公众号/成都美食/20150920_撑死在成都，本地人都无法拒绝的特产系列！虐心推荐~.md
train,2015-09-28 23:00,2015,成都美食,美食君,美食君,单品深挖/资格味道稿,国庆回成都挨到吃，不吃这些重口味等于白来了！！,453,62,https://mp.weixin.qq.com/s/8bFxvP4Z4RopV-seniXkbQ,20150928_国庆回成都挨到吃，不吃这些重口味等于白来了！！.md,/Users/lixin/Documents/学习/重点学习公众号/成都美食/20150928_国庆回成都挨到吃，不吃这些重口味等于白来了！！.md
train,2015-10-05 11:46,2015,成都美食,编辑：美食君,编辑：美食君,街区地图/城市记忆稿,逃离人海，去成都的12个老院坝吃吃吃！！！,3324,92,https://mp.weixin.qq.com/s/2djdxQGXmM8NAMxT4mquIw,20151005_逃离人海，去成都的12个老院坝吃吃吃！！！.md,/Users/lixin/Documents/学习/重点学习公众号/成都美食/20151005_逃离人海，去成都的12个老院坝吃吃吃！！！.md
train,2015-10-07 18:07,2015,成都美食,编辑：美食君,编辑：美食君,街区地图/城市记忆稿,听说，这是唯一1个国庆吃饭不用挤的攻略！！,4513,87,https://mp.weixin.qq.com/s/NP_254QwDwzlYx9twrCDMw,20151007_听说，这是唯一1个国庆吃饭不用挤的攻略！！.md,/Users/lixin/Documents/学习/重点学习公众号/成都美食/20151007_听说，这是唯一1个国庆吃饭不用挤的攻略！！.md
train,2015-10-08 21:07,2015,成都美食,美食君,美食君,人物老店/烟火故事稿,在成都，有哪些因为名字怪而被错过的好餐厅？！,3786,78,https://mp.weixin.qq.com/s/d8799AIFJZdcUs0r3U3mDQ,20151008_在成都，有哪些因为名字怪而被错过的好餐厅？！.md,/Users/lixin/Documents/学习/重点学习公众号/成都美食/20151008_在成都，有哪些因为名字怪而被错过的好餐厅？！.md
train,2015-10-14 20:15,2015,成都美食,美食君,美食君,测评指南/清单稿,在成都你只喜欢狼牙土豆？？这些每样都吃过才能说你爱土豆！！！,2323,34,https://mp.weixin.qq.com/s/-76ldfo-nt56vbsFSxpdVQ,20151014_在成都你只喜欢狼牙土豆？？这些每样都吃过才能说你爱土豆！！！.md,/Users/lixin/Documents/学习/重点学习公众号/成都美食/20151014_在成都你只喜欢狼牙土豆？？这些每样都吃过才能说你爱土豆！！！.md
train,2015-10-19 21:57,2015,成都美食,美食君,美食君,街区地图/城市记忆稿,在成都，有12样大牌美食天天限量购买！只买到过1次！！,3979,71,https://mp.weixin.qq.com/s/_CP4pw3FaHnc6kMO7B_Q8Q,20151019_在成都，有12样大牌美食天天限量购买！只买到过1次！！.md,/Users/lixin/Documents/学习/重点学习公众号/成都美食/20151019_在成都，有12样大牌美食天天限量购买！只买到过1次！！.md
train,2015-10-20 22:01,2015,成都美食,美食君,美食君,测评指南/清单稿,成都完爆北上广，全国排第一！北京挤出前10！！,3029,107,https://mp.weixin.qq.com/s/R67F8PSSae8cMEn9cDFOJw,20151020_成都完爆北上广，全国排第一！北京挤出前10！！.md,/Users/lixin/Documents/学习/重点学习公众号/成都美食/20151020_成都完爆北上广，全国排第一！北京挤出前10！！.md
train,2015-12-30 22:59,2015,成都美食,熊猫娃,熊猫娃,街区地图/城市记忆稿,看图猜成都美食，我居然输给了一个外地人！！,967,50,https://mp.weixin.qq.com/s/y7k0n74G3-3P4Y0KORzPkQ,20151230_看图猜成都美食，我居然输给了一个外地人！！.md,/Users/lixin/Documents/学习/重点学习公众号/成都美食/20151230_看图猜成都美食，我居然输给了一个外地人！！.md
train,2016-07-01 21:31,2016,成都美食,筷子手源叔,筷子手源叔,街区地图/城市记忆稿,筷走成都 | 夏天的小关庙没有羊肉汤，大家都躲在这些馆子里打拥堂！！,1715,67,https://mp.weixin.qq.com/s/PARzg44YwBzQwi9jNTxiTA,20160701_筷走成都 _ 夏天的小关庙没有羊肉汤，大家都躲在这些馆子里打拥堂！！.md,/Users/lixin/Documents/学习/重点学习公众号/成都美食/20160701_筷走成都 _ 夏天的小关庙没有羊肉汤，大家都躲在这些馆子里打拥堂！！.md
train,2016-07-12 21:56,2016,成都美食,源叔,源叔,街区地图/城市记忆稿,彭州最牛苍蝇馆子！据说解决了成都人不知道吃啥好的宇宙难题！！,1623,43,https://mp.weixin.qq.com/s/FvYCbOsYdTVufPPE32VDQg,20160712_彭州最牛苍蝇馆子！据说解决了成都人不知道吃啥好的宇宙难题！！.md,/Users/lixin/Documents/学习/重点学习公众号/成都美食/20160712_彭州最牛苍蝇馆子！据说解决了成都人不知道吃啥好的宇宙难题！！.md
train,2016-07-13 21:48,2016,成都美食,源叔,源叔,人物老店/烟火故事稿,不装逼！这可能是高学历男文青最多的成都面馆！来过的都不是一般人…,2066,67,https://mp.weixin.qq.com/s/gINgWhGjeewHC4_mrNOFmg,20160713_不装逼！这可能是高学历男文青最多的成都面馆！来过的都不是一般人….md,/Users/lixin/Documents/学习/重点学习公众号/成都美食/20160713_不装逼！这可能是高学历男文青最多的成都面馆！来过的都不是一般人….md
train,2016-07-20 21:59,2016,成都美食,源叔,源叔,街区地图/城市记忆稿,就像在成都撕裂出一个时空缺口，让人们闻到了他童年里的洋芋片味儿！,2489,41,https://mp.weixin.qq.com/s/iXJnYFuklPlrQaRYbSvH3w,20160720_就像在成都撕裂出一个时空缺口，让人们闻到了他童年里的洋芋片味儿！.md,/Users/lixin/Documents/学习/重点学习公众号/成都美食/20160720_就像在成都撕裂出一个时空缺口，让人们闻到了他童年里的洋芋片味儿！.md
train,2016-07-25 21:30,2016,成都美食,源叔,源叔,街区地图/城市记忆稿,必须曝光！午夜成都的手机一条街，其实是他们寻欢的天堂！！,934,24,https://mp.weixin.qq.com/s/pkURHn5thsGO5fsYPekRcw,20160725_必须曝光！午夜成都的手机一条街，其实是他们寻欢的天堂！！.md,/Users/lixin/Documents/学习/重点学习公众号/成都美食/20160725_必须曝光！午夜成都的手机一条街，其实是他们寻欢的天堂！！.md
train,2016-07-29 21:46,2016,成都美食,源叔,源叔,街区地图/城市记忆稿,说到成都最牛逼的水饺：我只服这3家！！,1943,50,https://mp.weixin.qq.com/s/0O3Pz_TkRRDfPmxH3SFOJg,20160729_说到成都最牛逼的水饺：我只服这3家！！.md,/Users/lixin/Documents/学习/重点学习公众号/成都美食/20160729_说到成都最牛逼的水饺：我只服这3家！！.md
train,2016-08-03 21:33,2016,成都美食,Dase,Dase,街区地图/城市记忆稿,成都艺术家及“大资”们的食堂！,873,18,https://mp.weixin.qq.com/s/s8CZh_zbdLl9-gbeVd8xHQ,20160803_成都艺术家及“大资”们的食堂！.md,/Users/lixin/Documents/学习/重点学习公众号/成都美食/20160803_成都艺术家及“大资”们的食堂！.md
