id,split,type,title,file,path,ext,chars,paragraphs,paragraphs_per_1000_chars,median_paragraph_chars,under20_paragraph_ratio,max_under20_run,section_count,progression_chain,visual_cadence,source_stratum,sha256
a001,train,发言稿,叙写初心担使命 立足岗位促发展,【改6.29】叙写初心担使命 立足岗位促发展——练团子代红.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/发言稿/【改6.29】叙写初心担使命 立足岗位促发展——练团子代红.docx,.docx,2801,25,8.93,93,0.28,4,0,导语->背景目的->过程展开->成效意义->下一步,text-only or source image not extracted,representative-long,d8d66a44960cde422e4243df324dfef4671d6dca913ef26a479dd317d01a1ccc
a002,train,发言稿,创新“1456”党建工作法，引领推动企业高质量发展,书面发言稿 -宜宾市互联网行业党建工作会议汇报材料.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/发言稿/书面发言稿 -宜宾市互联网行业党建工作会议汇报材料.docx,.docx,1480,34,22.97,24,0.412,4,15,背景目的->过程展开->成效意义,text-only or source image not extracted,representative-long,ce76d7103824aa19509c9117100025974a97b08e68da5ee6269a7ac7239f6aa9
a003,train,发言稿,以党建“红” 绘就发展“新”篇章,以党建“红” 绘就发展“新”篇章-代红5.20.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/发言稿/以党建“红” 绘就发展“新”篇章-代红5.20.docx,.docx,2380,23,9.66,83,0.217,2,0,导语->背景目的->过程展开->成效意义->下一步,text-only or source image not extracted,representative-long,cee900e07b32ce4b0e82570a83b4d06284153296877570c0f405c391b9b1bd4b
a004,holdout,发言稿,党建赋能新领域 实干担当映初心,党建赋能新领 域实干担当映初心.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/发言稿/党建赋能新领 域实干担当映初心.docx,.docx,2598,24,9.24,113,0.208,1,0,导语->背景目的->过程展开,text-only or source image not extracted,representative-long,d98057830ee388d92c7b2f800b07cb26a1084a9ac1eae11d697592c4d1224933
a005,train,发言稿,大宜宾：构建“网络 + 统战”新模式,大宜宾：构建“网络 + 统战”新模式 助力叙州发展谱新篇.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/发言稿/大宜宾：构建“网络 + 统战”新模式 助力叙州发展谱新篇.docx,.docx,3857,31,8.04,75,0.387,3,5,背景目的->过程展开->成效意义,text-only or source image not extracted,representative-long,faaea53f111188e0e9e4019989a9e3c4dc9f107fd8bc337add07bd26e45fddad
a006,train,发言稿,“青心向党·四力助民”,练团子党支部党建工作案例内容6.26 - 副本.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/发言稿/练团子党支部党建工作案例内容6.26 - 副本.docx,.docx,2763,25,9.05,152,0.44,3,9,背景目的->过程展开->成效意义,text-only or source image not extracted,representative-long,462b599db0e8350e58ca33a7dee008883722b5d513a7260a7846ae3d40381b39
a007,train,日常活动开展,（第11期）党建引领，共促工会发展,（第11期）党建引领，共促工会发展.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/日常活动开展/（第11期）党建引领，共促工会发展.docx,.docx,1114,17,15.26,17,0.529,6,3,导语->过程展开->成效意义->下一步,text-only or source image not extracted,routine-complete,4c94a9d88f0d7d3b420e8577b84757f5dc590dfde8febb8c1303dc4c14116434
a008,train,日常活动开展,（第11期）大宜宾红娘说媒 东楼现场相亲会,（第11期）大宜宾红娘说媒 东楼现场相亲会.doc,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/日常活动开展/（第11期）大宜宾红娘说媒 东楼现场相亲会.doc,.doc,440,8,18.18,9,0.625,5,0,导语->过程展开->成效意义->下一步,text-only or source image not extracted,short-routine,c8bbde0cf7237f2a718ff68a76b93238bb6e072d3de2b9bec8de611270316d44
a009,train,日常活动开展,（第12期）浪漫石海踩花山 直播赋能促发展,（第12期）浪漫石海踩花山 直播赋能促发展.doc,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/日常活动开展/（第12期）浪漫石海踩花山 直播赋能促发展.doc,.doc,455,8,17.58,11,0.625,5,0,导语->过程展开->成效意义,text-only or source image not extracted,short-routine,f4c72600c928f947b17cb87a4d53981b37a6926ac274cde49bbfb55b27aa2884
a010,holdout,日常活动开展,（第13期）人才联谊 情定马湖,（第13期）人才联谊 情定马湖.doc,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/日常活动开展/（第13期）人才联谊 情定马湖.doc,.doc,550,10,18.18,40,0.5,5,0,导语->过程展开->成效意义,text-only or source image not extracted,routine-complete,45631fff4023ac37266a6b17ec7b1321f88493f8c0083b8673599b298f149ddc
