date,title,type,标题相似度,开头相似度,正文结构相似度,语言节奏相似度,素材使用相似度,观点组织相似度,转折推进相似度,结尾方式相似度,整体读感相似度,事实可靠性,非冒充合规性
20260702,人可以穷，但不要有穷相,金钱认知,8.4,8.2,8.7,8.1,8.2,8.4,8.3,8.5,8.3,9.8,10
20260617,为什么付出最多的人，反倒成了全家最恨的人？,家庭关系,8.2,8.4,8.6,8.0,8.4,8.3,8.2,8.3,8.2,9.8,10
20251116,55岁儿子殴打92岁母亲被刑拘，母亲得知后第一句话，让所有人都想不到,家庭关系,8.1,8.0,8.3,7.9,8.1,8.2,8.0,8.1,8.0,9.7,10
20260106,新的一年，叫醒自己的50条行动清单，值得收藏,清单方法,8.5,8.0,8.4,8.0,7.8,8.1,7.9,8.0,8.0,9.9,10
20250903,人在单位：事别拖、话别多、人别作,职场单位,8.6,8.3,8.6,8.2,8.1,8.4,8.3,8.5,8.4,9.9,10
20251101,普通人变强的开始：停止弱者叙事,人生观点,8.3,8.1,8.5,8.0,8.2,8.2,8.1,8.2,8.1,9.8,10
20260102,看了那篇感动全网的高中生作文，我才知道该如何养出“报恩”的孩子,家庭关系,8.1,8.2,8.4,7.8,8.2,8.1,8.0,8.1,8.0,9.7,10
20260610,人和人的差距，从忍耐一份“烂工作”开始,职场单位,8.4,8.2,8.6,8.1,8.2,8.3,8.2,8.4,8.3,9.8,10
20250722,中年人的极简，是只过1%的生活,清单方法,8.5,8.1,8.5,8.2,8.0,8.2,8.1,8.4,8.2,9.9,10
20260615,这世间最大的荒唐：无情人在演有情人，有情人修了无情道,人生观点,8.2,8.0,8.3,7.9,8.1,8.0,7.9,8.2,8.0,9.8,10
